ID	adj.P.Val	P.Value	logFC	miRNA_ID
hsa-miR-1296-5p	0.1163	0.0174532	-0.3645	hsa-miR-1296-5p
hsa-miR-134-5p+hsa-miR-6728-5p	0.1163	0.0174532	-0.3645	hsa-miR-134-5p+hsa-miR-6728-5p
hsa-miR-181b-5p+hsa-miR-181d-5p	0.1163	0.0174532	-0.3645	hsa-miR-181b-5p+hsa-miR-181d-5p
hsa-miR-1909-3p	0.1163	0.0174532	-0.3645	hsa-miR-1909-3p
hsa-miR-204-5p	0.1163	0.0174532	-0.3645	hsa-miR-204-5p
hsa-miR-208b-5p	0.1163	0.0174532	-0.3645	hsa-miR-208b-5p
hsa-miR-2278	0.1163	0.0174532	-0.3645	hsa-miR-2278
hsa-miR-3151-5p	0.1163	0.0174532	-0.3645	hsa-miR-3151-5p
hsa-miR-323b-5p	0.1163	0.0174532	-0.3645	hsa-miR-323b-5p
hsa-miR-3605-3p	0.1163	0.0174532	-0.3645	hsa-miR-3605-3p
hsa-miR-361-3p	0.1163	0.0174532	-0.3645	hsa-miR-361-3p
hsa-miR-369-5p	0.1163	0.0174532	-0.3645	hsa-miR-369-5p
hsa-miR-376b-3p	0.1163	0.0174532	-0.3645	hsa-miR-376b-3p
hsa-miR-383-5p	0.1163	0.0174532	-0.3645	hsa-miR-383-5p
hsa-miR-3918	0.1163	0.0174532	-0.3645	hsa-miR-3918
hsa-miR-4458	0.1163	0.0174532	-0.3645	hsa-miR-4458
hsa-miR-4461	0.1163	0.0174532	-0.3645	hsa-miR-4461
hsa-miR-449a	0.1163	0.0174532	-0.3645	hsa-miR-449a
hsa-miR-4536-3p	0.1163	0.0174532	-0.3645	hsa-miR-4536-3p
hsa-miR-455-3p	0.1163	0.0174532	-0.3645	hsa-miR-455-3p
hsa-miR-4707-3p	0.1163	0.0174532	-0.3645	hsa-miR-4707-3p
hsa-miR-483-5p	0.1163	0.0174532	-0.3645	hsa-miR-483-5p
hsa-miR-487b-3p	0.1163	0.0174532	-0.3645	hsa-miR-487b-3p
hsa-miR-5001-3p	0.1163	0.0174532	-0.3645	hsa-miR-5001-3p
hsa-miR-507	0.1163	0.0174532	-0.3645	hsa-miR-507
hsa-miR-510-5p	0.1163	0.0174532	-0.3645	hsa-miR-510-5p
hsa-miR-539-3p	0.1163	0.0174532	-0.3645	hsa-miR-539-3p
hsa-miR-545-3p	0.1163	0.0174532	-0.3645	hsa-miR-545-3p
hsa-miR-548c-5p+hsa-miR-548o-5p+hsa-miR-548am-5p	0.1163	0.0174532	-0.3645	hsa-miR-548c-5p+hsa-miR-548o-5p+hsa-miR-548am-5p
hsa-miR-548l	0.1163	0.0174532	-0.3645	hsa-miR-548l
hsa-miR-548o-3p+hsa-miR-548ah-3p+hsa-miR-548av-3p	0.1163	0.0174532	-0.3645	hsa-miR-548o-3p+hsa-miR-548ah-3p+hsa-miR-548av-3p
hsa-miR-550a-5p	0.1163	0.0174532	-0.3645	hsa-miR-550a-5p
hsa-miR-590-3p	0.1163	0.0174532	-0.3645	hsa-miR-590-3p
hsa-miR-615-5p	0.1163	0.0174532	-0.3645	hsa-miR-615-5p
hsa-miR-627-5p	0.1163	0.0174532	-0.3645	hsa-miR-627-5p
hsa-miR-651-3p	0.1163	0.0174532	-0.3645	hsa-miR-651-3p
hsa-miR-6511a-5p	0.1163	0.0174532	-0.3645	hsa-miR-6511a-5p
hsa-miR-652-5p	0.1163	0.0174532	-0.3645	hsa-miR-652-5p
hsa-miR-664b-5p	0.1163	0.0174532	-0.3645	hsa-miR-664b-5p
hsa-miR-766-5p	0.1163	0.0174532	-0.3645	hsa-miR-766-5p
hsa-miR-767-3p	0.1163	0.0174532	-0.3645	hsa-miR-767-3p
hsa-miR-874-3p	0.1163	0.0174532	-0.3645	hsa-miR-874-3p
hsa-miR-25-3p	0.1163	0.0175619	1.72233	hsa-miR-25-3p
hsa-miR-206	0.1163	0.0177934	-1.00755	hsa-miR-206
hsa-miR-24-3p	0.1163	0.017835	1.41773	hsa-miR-24-3p
hsa-miR-525-3p	0.1178	0.0182111	-0.67455	hsa-miR-525-3p
hsa-miR-485-3p	0.1187	0.0185003	-1.19866	hsa-miR-485-3p
hsa-miR-33a-5p	0.1205	0.0192675	-0.36019	hsa-miR-33a-5p
hsa-miR-502-5p	0.1205	0.0192903	-1.46934	hsa-miR-502-5p
hsa-miR-556-3p	0.1205	0.0193365	-0.44617	hsa-miR-556-3p
hsa-miR-2116-5p	0.1205	0.0193733	-0.85573	hsa-miR-2116-5p
hsa-miR-1322	0.1205	0.0196585	-0.58454	hsa-miR-1322
hsa-miR-532-3p	0.1205	0.0197081	-0.60983	hsa-miR-532-3p
hsa-miR-490-5p	0.1205	0.0198001	-0.53153	hsa-miR-490-5p
hsa-miR-520f-3p	0.1229	0.0203885	-0.89158	hsa-miR-520f-3p
hsa-miR-106a-5p+hsa-miR-17-5p	0.1229	0.0205241	1.36647	hsa-miR-106a-5p+hsa-miR-17-5p
hsa-miR-25-5p	0.1229	0.0206282	-0.61855	hsa-miR-25-5p
hsa-miR-3074-3p	0.1233	0.0208449	-0.42818	hsa-miR-3074-3p
hsa-miR-1290	0.1248	0.0212515	-0.62675	hsa-miR-1290
